Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
United States,USA,"Population, total",SP.POP.TOTL,249623000,282162411,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056,321191000
United States,USA,Population growth (annual %),SP.POP.GROW,1.12965052045579,1.11276899679534,0.964253917136075,0.951055242772428,0.945865287282592,0.876651298802912,0.836054311839923,0.764677599367843,0.763927409799426,0.756558207855926,0.742746143848123,..
United States,USA,Surface area (sq. km),AG.SRF.TOTL.K2,9629090,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,27.2545136128993,30.7973013298523,32.5673998463204,32.8786113609374,33.2436868537795,33.5363992251367,33.8179570851672,34.0775466743628,34.3388712882977,34.5996500652643,34.8575943818038,..
United States,USA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,6029529322891.06,10178500697503.7,14345564947204.5,14651211130474,15002428215985,14740580035992.9,15143137264678.1,15727290871234.6,16501015978642.4,17001290051112.6,17611490812741.3,..
United States,USA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,24150,36070,48080,48640,49330,48050,48950,50450,52530,53720,55230,..
United States,USA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5922924000000,10421259000000,14140770000000,14585723000000,14791194000000,14494460000000,15121133000000,15802898000000,16596084200000,17091161800000,17823200000000,..
United States,USA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23730,36930,47390,48420,48640,47250,48880,50700,52830,54000,55900,..
United States,USA,Income share held by lowest 20%,SI.DST.FRST.20,..,5.37,..,4.67,..,..,5.09,..,..,5.1,..,..
